,averageDepartureDelay,MedianDelay,TotalFlights,Origin
220,12.388857938718663,-5.0,1795,MTJ
221,7.296296296296297,-4.0,1782,GTF
222,13.413363533408834,-5.0,1766,SCE
223,9.946530147895336,-7.0,1758,SAF
224,5.510356731875719,-5.0,1738,ACT
225,12.689337175792508,-5.0,1735,SPI
226,22.178612716763006,-3.0,1730,SWF
227,10.948524795982424,-5.0,1593,PAE
228,6.980870712401056,-5.0,1516,TYR
229,9.741982507288629,-3.0,1372,DHN
230,26.192251461988302,-3.0,1368,MQT
231,3.8377386196769456,-8.0,1362,ROW
232,14.285398230088495,-2.0,1356,USA
233,9.096153846153847,-5.0,1352,SUN
234,2.6333333333333333,-4.0,1350,HLN
235,14.760299625468164,-5.0,1335,PBG
236,12.902548725637182,-4.0,1334,JLN
237,16.256756756756758,-6.0,1332,RDD
238,-1.0683696468820436,-9.0,1331,SIT
239,15.907823392718823,-2.0,1291,SUX
240,7.767857142857143,-5.0,1288,LAW
